Veldnaam;Veldnaam_export;In_gebruik;Veldtype;p_na;lower;upper;pattern;Uniek;...10
INS_Instelling;instellingscode;TRUE;subset;0;NA;NA;NA;FALSE;NA
INS_Versie_1CHO_jaar;NA;FALSE;numeric;NA;NA;NA;NA;NA;NA
INS_Studentnummer;persoonsgebonden_nummer;TRUE;numeric;0;2;170866;NA;FALSE;NA
INS_Inschrijvingsjaar;inschrijvingsjaar;TRUE;numeric;0;2002;2023;NA;FALSE;NA
INS_Inschrijvingsjaar_EI;eerste_jaar_aan_deze_instelling;TRUE;numeric;0;1973;2023;NA;FALSE;NA
INS_Studierichting_SAP_numeriek;NA;FALSE;numeric;NA;NA;NA;NA;NA;NA
INS_Soort_inschrijving_1CHO_code;soort_inschrijving_hoger_onderwijs;TRUE;numeric;0;1;4;NA;FALSE;NA
INS_Soort_inschrijving_actuele_instelling;soort_inschrijving_actuele_instelling;TRUE;numeric;0;1;4;NA;FALSE;NA
INS_Opleidingsfase_actueel_code;opleidingsfase_actueel;TRUE;subset;0;NA;NA;NA;FALSE;NA
INS_Indicatie_actief_op_peildatum_code;indicatie_actief_op_peildatum;TRUE;numeric;0;1;4;NA;FALSE;NA
OPL_Code_in_jaar;opleiding_actueel_equivalent;TRUE;numeric;0;50509;66950;NA;FALSE;NA
INS_Opleidingsnaam_2002;NA;FALSE;character;NA;NA;NA;NA;NA;NA
INS_Indicatie_eerste_jaars_opleiding;indicatie_eerstejaars_opl_actueel_equivalent;TRUE;numeric;0;1;5;NA;FALSE;NA
INS_Indicatie_eerste_jaars_instelling;indicatie_eerstejaars_actuele_instelling;TRUE;numeric;0;1;5;NA;FALSE;NA
INS_Indicatie_eerste_jaars_opleiding_en_instelling;indicatie_eerstejaars_actuele_opl_instelling;TRUE;numeric;0;1;5;NA;FALSE;NA
INS_Inschrijvingsjaar_EOI;eerste_jaar_aan_deze_opleiding_instelling;TRUE;numeric;0;1985;2023;NA;FALSE;NA
INS_Eerste_jaar_hoger_onderwijs;eerste_jaar_in_het_hoger_onderwijs;TRUE;numeric;0;1973;2023;NA;FALSE;NA
INS_Eerste_jaar_soort_hoger_onderwijs;eerste_jaar_aan_deze_soort_hoger_onderwijs;TRUE;numeric;0;1973;2023;NA;FALSE;NA
INS_Vooropleiding_voor_HO_code;hoogste_vooropleiding_voor_het_ho_oorspronkelijke_code;TRUE;character;0;NA;NA;NA;FALSE;NA
INS_Vooropleiding_voor_HO_jaar;diplomajaar_van_de_hoogste_vooropl_voor_het_ho;TRUE;numeric;0;0;2022;NA;FALSE;NA
INS_Vooropleiding_voor_HO_cat;hoogste_vooropleiding_voor_het_ho;TRUE;numeric;0;0;506;NA;FALSE;NA
INS_Vooropleiding_voor_HO_BRIN;instelling_van_de_hoogste_vooropl_voor_het_ho;TRUE;character;15.34;NA;NA;NA;FALSE;NA
