from;to
00002;VO HAVO-certificaat
00003;VO VWO-certificaat
00050;VO havo
00051;VO havo profiel natuur en techniek
00052;VO havo profiel natuur en gezondheid
00053;VO havo profiel economie en maatschappij
00054;VO havo profiel cultuur en maatschappij
00060;VO HAVO/MBO
00070;VO Ander AVO incl. MMS en HBS
00098;VO havo of havo/mbo (deze vooropleiding is toegevoegd na analyse)
00100;VO HBS
00101;VO HBS-A
00102;VO HBS-B
00105;OVGEuropese school
00151;VO havo profiel natuur en techniek
00152;VO havo profiel natuur en gezondheid
00153;VO havo profiel economie en maatschappij
00154;VO havo profiel cultuur en maatschappij
00155;VO havo profiel natuur en techniek + natuur en gezondheid
00156;VO havo profiel natuur en techniek + economie en maatschappij
00157;VO havo profiel natuur en techniek + cultuur en maatschappij
00158;VO havo profiel natuur en gezondheid + economie en maatschappij
00159;VO havo profiel natuur en gezondheid + cultuur en maatschappij
00160;VO havo profiel economie en maatschappij + cultuur en maatschappij
00161;VO havo oude stijl
00170;VO vwo profiel natuur en techniek
00171;VO vwo profiel natuur en gezondheid
00172;VO vwo profiel economie en maatschappij
00173;VO vwo profiel cultuur en maatschappij
00174;VO vwo profiel natuur en techniek + natuur en gezondheid
00175;VO vwo profiel natuur en techniek + economie en maatschappij
00176;VO vwo profiel natuur en techniek + cultuur en maatschappij
00177;VO vwo profiel natuur en gezondheid + cultuur en maatschappij
00178;VO vwo profiel natuur en gezondheid + economie en maatschappij
00179;VO vwo profiel economie en maatschappij + cultuur en maatschappij
00200;VO vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00201;MBOMBO techniek
00202;MBOMBO weg- en waterbouwkunde
00203;MBOMBO proces- en laboratoriumtechniek
00204;MBOMBO nautische beroepen
00205;MBOMBO operationele techniek
00206;MBOMBO fijnmechanische techniek
00207;MBOMBO grafische techniek
00208;MBOMBO fijne techniek
00209;MBOMBO instrument techniek
00210;MBOMBO edelsmeden
00211;MBOMBO houtbewerking en woninginrichting
00212;MBOMBO beschermings- en afwerkingstechnieken
00213;MBOMBO luchtvaarttechniek
00214;MBOMBO mode en kleding
00215;MBOMBO wegenbouwmachinisten
00216;MBOMBO brood- en banketbakken
00217;MBOMBO bedrijfmanagement motorvoertuigen
00218;MBOMBO reclame- en presentatietechnieken
00220;MBOMBO plantenteelt
00221;MBOMBO veehouderij
00222;MBOMBO levensmiddelentechnologie
00223;MBOMBO bloemschikken
00224;MBOMBO dierverzorging en veterinaire ondersteuning
00225;MBOMBO biologische dynamische land- en tuinbouw
00226;MBOMBO paardenhouderij en paardensport
00227;MBOMBO groene ruimte
00230;MBOMBO administratie
00231;MBOMBO handel
00232;MBOMBO toerisme en recreatie
00233;MBOMBO horeca
00234;MBOMBO slagerij en vleessector
00235;MBOMBO levensmiddelenhandel
00236;MBOMBO textielhandel
00240;MBOMBO dienstverlening en gezondheidszorg
00241;MBOMBO mode en kleding
00242;MBOMBO assisterende beroepen in de gezondheidszorg
00243;MBOMBO uiterlijke verzorging
00244;MBOMBO facilitaire dienstverlening
00245;MBOMBO sport en bewegen
00246;MBOMBO verpleging
00300;VO vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00301;VO Gymnasium A oude stijl
00303;VO Gymnasium B oude stijl
00305;VO vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00310;VO vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00311;VO vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00312;VO vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00350;VO vwo
00351;VO vwo profiel natuur en techniek
00352;VO vwo profiel natuur en gezondheid
00353;VO vwo profiel economie en maatschappij
00354;VO vwo profiel cultuur en maatschappij
00355;VO vwo profiel natuur en techniek + natuur en gezondheid
00356;VO vwo profiel natuur en techniek + economie en maatschappij
00357;VO vwo profiel natuur en techniek + cultuur en maatschappij
00358;VO vwo profiel natuur en gezondheid + economie en maatschappij
00359;VO vwo profiel natuur en gezondheid + cultuur en maatschappij
00360;VO vwo profiel economie en maatschappij + cultuur en maatschappij
00361;VO vwo oude stijl
00370;VO havo profiel natuur en techniek
00371;VO havo profiel natuur en gezondheid
00372;VO havo profiel economie en maatschappij
00373;VO havo profiel cultuur en maatschappij
00374;VO havo profiel natuur en techniek + natuur en gezondheid
00375;VO havo profiel natuur en techniek + economie en maatschappij
00376;VO havo profiel natuur en techniek + cultuur en maatschappij
00377;VO havo profiel natuur en gezondheid + cultuur en maatschappij
00378;VO havo profiel natuur en gezondheid + economie en maatschappij
00379;VO havo profiel economie en maatschappij + cultuur en maatschappij
00380;VO vwo (tijdelijk)
00398;VO vwo/vhmo (deze vooropleiding is toegevoegd na analyse)
00400;MBOMBO
00410;MBOMiddelbare agrarische school + stova
00420;MBOMiddelbaar technisch onderwijs
00421;MBOMiddelbare technisch onderwijs (met verklaring)
00422;MBOMiddelbaar nautisch onderwijs
00423;MBOSchool voor laboratorium personeel mbo + mlo
00430;MBOZiekenverpleging a,b,z
00431;MBOMiddelbaar dienstverlengings- en gezondheidszorgonderwijs
00440;MBOMiddelbaar economisch administratie onderwijs
00441;MBOMiddelbaar middenstandsonderwijs
00450;MBOVooropleiding hoger beroepsonderwijs
00451;MBOMiddelbaar huishoud- en nijverheidsonderwijs
00460;MBOMiddelbaar sociaal pedagogisch onderwijs (exclusief gezondheidszorg)
00470;MBODiploma middelbaar beroepsonderwijs op basis van certificaat-eenheden
00480;HO Opleiding kleuterleidsters
00490;MBOAnder middelbaar beroepsonderwijs
00491;MBOAndere MBO-opleiding
00499;MBOAnder middelbaar beroepsonderwijs (deze vooropleiding is toegevoegd na analyse)
00510;HO Hogere agrarische school + STOVA + opl.doc.
00511;HO Einddiploma bachelor hoger agrarisch onderwijs
00520;HO Hogere technische school
00521;HO Hogere nautisch onderwijs + opl.doc.
00522;HO School voor laboratorium personeel HBO + HLO
00530;HO HBO-V (deze vooropleiding is toegevoegd na analyse)
00531;HO HBO-V
00532;HO Fysiotherapie
00534;HO Verv. opleiding verpl.k. + doc. Opleiding gezondheidszorg
00535;HO Ander hoger gezondheidszorgonderw. + logopedie + dietiek + ergotherapie
00540;HO HEAO
00541;HO Hoger Economisch en Administratief Onderwijs
00542;HO Toegepaste huishoudwetenschappen / hogere hotelscholen
00560;HO Sociale academies
00561;HO Sociale academies (deze vooropleiding is toegevoegd na analyse)
00562;HO Opleiding voor hogere sociale arbeid
00563;HO Journalistiek / bibliotheek + doc.
00564;HO HBO-J (K en O) + opl. Jeugdl. + HBO-B
00565;HO Ander hoger sociaal agogisch onderwijs
00566;HO Overig hoger sociaal cultureel onderwijs
00567;OVGToelatingsexamen HSAO
00570;HO Muziekvakonderwijs
00571;HO Theateronderwijs
00572;HO Beeldend kunst onderwijs kunstzinnige aktenopleiding
00573;HO Museummedewerker
00574;HO Academie voor bouwkunst
00575;OVGToelatingsexamen hoger kunstonderwijs
00580;HO Pedagogische academie (PABO)
00581;HO HBO lerarenopleiding (deze vooropleiding is toegevoegd na analyse)
00582;HO Nieuwe lerarenopleiding
00583;HO Opleiding MO-akten
00584;HO LO aktenopleiding aan pedagogische academies
00585;HO Ander hoger pedag. Onderw. + appl. cursussen + leerkr. Tech. Onderw.
00589;HO Sociaal juridische dienstverlening
00590;HO Ander hoger beroepsonderwijs
00591;HO Bachelor HBO
00595;HO Master HBO
00601;OVGColloquium doctum / vooropl. Onderzoek / Beschikking C.v.B.
00602;OVGBeschikking havo-oud
00603;OVGBeschikking College van Bestuur
00604;OVGVerklaring toetsingscommissie masteropleiding
00605;OVGMinisteriele beschikking
00606;HO Beschikking propedeuse-diploma HBO
00610;HO Propedeuse-diploma HBO
00611;HO Propedeuse-diploma bachelor HBO
00612;HO Associate degree
00613;HO Propedeuse-diploma associate degree
00615;HO Propedeuse-diploma HBO (deze vooropleiding is toegevoegd na analyse)
00620;HO Propedeuse-diploma HBO (deze vooropleiding is toegevoegd na analyse)
00639;HO Technisch kaderfunctionaris in de motorvoertuigenbranche
00710;HO Propedeuse-diploma WO
00711;HO Propedeuse-diploma bachelor WO
00730;HO Doctoraal WO incl. doctoraal OU (deze vooropleiding is toegevoegd na analyse)
00740;HO Doctoraal WO incl. doctoraal OU
00741;HO Bachelor WO
00745;HO Master WO
00750;HO Technische universiteit
00760;HO Ander wetenschappelijk onderwijs
00801;OVGBuitenlands diploma
00830;MBOMedewerker logistiek management
00840;OVGBuitenlands diploma (deze vooropleiding is toegevoegd na analyse)
00901;OVGOverige getuigschriften en niet voltooide vooropleidingen
00927;MBOApplicatieprogrammeur
01020;HO Commerciele bedrijfskunde
01021;HO Bedrijfskunde algemeen
01022;HO Overheid en Onderneming
01023;HO Politiek en Beleid
01024;HO Lokaal bestuur en beleid
01025;HO Cultuurgeschiedenis
01026;HO Kunstbeleid
01027;HO Literatuurwetenschap
01028;HO Filosofie
01029;HO Financieel economisch overheidsbeleid
01030;HO Bestuurlijke Informatiekunde
01031;HO Toegepaste oecologie
01032;HO Milieu en chemie
01033;HO Geosystemen
01034;HO Ecotoxicologie
01035;HO Milieumanagement
01036;HO Mens en Techniek
01037;HO Inrichting werkplek
01038;HO Onderwijsorganisatie
01039;HO Personeel en organisatie
01040;HO Methoden en technieken Sociale Wetenschappen
01041;HO Allochtonen en minderheden
01042;HO Informatica onderbouw
01043;HO Informatietechnologie
01044;HO Informatica
01045;HO Wiskunde onderbouw
01046;HO Personeelsmanagement
01047;HO Onderwijs
04001;HO Opleiding tolk-vertaler
04003;HO Bedrijfsleer
