"X_id","BEVOEGD_GEZAG_CODE","BEVOEGD_GEZAG_NAAM","INSTELLINGSCODE","INSTELLINGSNAAM","VESTIGINGSCODE","VESTIGINGSNAAM","GEMEENTENAAM","PLAATSNAAM","ERKENDEOPLEIDINGSCODE","INSTROOM_EINDDATUM","OPLEIDINGSEENHEIDCODE","EIGEN_OPLEIDINGSEENHEIDSLEUTEL","OPLEIDINGSEENHEID_NAAM","OPLEIDINGSEENHEID_INTERNATIONALE_NAAM","OPLEIDINGSEENHEID_SOORT","STUDIELAST","STUDIELASTEENHEID","NIVEAU","GRAAD","GRAADTOEVOEGING","ISCED","NLQF","EQF","VORM","ONDERDEEL","SUBONDERDEEL","BEKOSTIGINGSNIVEAU","GRONDSLAG_STUDIELAST","BEROEPSEISEN","OPLEIDINGSERKENNINGSKADER","INTENSIEFPROGRAMMA","BEKOSTIGINGSCODE","AANVULLENDE_EISEN","BEKOSTIGINGSDUUR","VESTIGINGSLICENTIE_BEGINDATUM","VESTIGINGSLICENTIE_EINDDATUM","ACCREDITATIE_BESLUITDATUM","ACCREDITATIE_BEGINDATUM","ACCREDITATIE_VERVALDATUM","ACCREDITATIE_AFBOUWDATUM","ACCREDITATIE_INLEVERDATUM","ACCREDITATIE_VOORWAARDENDATUM","ACCREDITATIE_INTREKKINGSDATUM","ACCREDITATIE_UITSTELDATUM","ACCREDITATIE_UITSTELREDEN","SAMENWERKENDEINSTELLINGEN"
1,20045,"Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV01","Protestantse Theologische Universiteit; Utrecht","Utrecht","UTRECHT",56109,NA,"1016O1755",NA,"Theologie",NA,"OPLEIDING",180,"ECTS_PUNT","WO-BA","BACHELOR","OF_ARTS",221,6,6,"VOLTIJD","TAAL_EN_CULTUUR",NA,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",NA,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,"2025-09-01T00:00:00",NA,"2025-03-20T00:00:00","2025-09-01T00:00:00","2031-03-20T00:00:00",NA,NA,NA,NA,NA,NA,NA
2,20045,"Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV01","Protestantse Theologische Universiteit; Utrecht","Utrecht","UTRECHT",60254,NA,"1001O6573",NA,"Theology","Theology","OPLEIDING",60,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",NA,7,7,"DEELTIJD","TAAL_EN_CULTUUR",NA,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",NA,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",12,"2024-09-01T00:00:00",NA,"2020-04-06T00:00:00","2020-04-06T00:00:00",NA,NA,"2025-11-01T00:00:00",NA,NA,"2028-05-02T00:00:00","ART_5_16_LID_4",NA
3,20045,"Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV01","Protestantse Theologische Universiteit; Utrecht","Utrecht","UTRECHT",60254,NA,"1001O6573",NA,"Theology","Theology","OPLEIDING",60,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",NA,7,7,"VOLTIJD","TAAL_EN_CULTUUR",NA,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",NA,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",12,"2024-09-01T00:00:00",NA,"2020-04-06T00:00:00","2020-04-06T00:00:00",NA,NA,"2025-11-01T00:00:00",NA,NA,"2028-05-02T00:00:00","ART_5_16_LID_4",NA
4,20045,"Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV01","Protestantse Theologische Universiteit; Utrecht","Utrecht","UTRECHT",66122,NA,"1001O7267",NA,"Theologie (Gemeentepredikant)",NA,"OPLEIDING",180,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",NA,7,7,"DEELTIJD","TAAL_EN_CULTUUR",NA,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",NA,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,"2024-09-01T00:00:00",NA,"2020-04-06T00:00:00","2020-04-06T00:00:00",NA,NA,"2025-11-01T00:00:00",NA,NA,"2028-05-02T00:00:00","ART_5_16_LID_4",NA
5,20045,"Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV01","Protestantse Theologische Universiteit; Utrecht","Utrecht","UTRECHT",66122,NA,"1001O7267",NA,"Theologie (Gemeentepredikant)",NA,"OPLEIDING",180,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",NA,7,7,"VOLTIJD","TAAL_EN_CULTUUR",NA,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",NA,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,"2024-09-01T00:00:00",NA,"2020-04-06T00:00:00","2020-04-06T00:00:00",NA,NA,"2025-11-01T00:00:00",NA,NA,"2028-05-02T00:00:00","ART_5_16_LID_4",NA
6,20045,"Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV03","Protestantse Theologische Universiteit; Amsterdam","Amsterdam","AMSTERDAM",55004,"2025-09-01T00:00:00","1001O5786",NA,"Theologie (joint degree)","Theology (joint degree)","OPLEIDING",180,"ECTS_PUNT","WO-BA","BACHELOR","OF_ARTS",NA,6,6,"DEELTIJD","TAAL_EN_CULTUUR",NA,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",NA,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,"2012-09-01T00:00:00","2029-09-01T00:00:00","2021-01-11T00:00:00","2021-01-11T00:00:00",NA,"2029-09-01T00:00:00","2026-05-01T00:00:00",NA,NA,NA,NA,"21PL"
7,20045,"Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV03","Protestantse Theologische Universiteit; Amsterdam","Amsterdam","AMSTERDAM",55004,"2025-09-01T00:00:00","1001O5786",NA,"Theologie (joint degree)","Theology (joint degree)","OPLEIDING",180,"ECTS_PUNT","WO-BA","BACHELOR","OF_ARTS",NA,6,6,"VOLTIJD","TAAL_EN_CULTUUR",NA,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",NA,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,"2012-09-01T00:00:00","2029-09-01T00:00:00","2021-01-11T00:00:00","2021-01-11T00:00:00",NA,"2029-09-01T00:00:00","2026-05-01T00:00:00",NA,NA,NA,NA,"21PL"
8,20045,"Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV04","Protestantse Theologische Universiteit; Groningen","Groningen","GRONINGEN",60261,"2024-09-01T00:00:00","1001O6587",NA,"Theologie (Predikantschap)",NA,"OPLEIDING",180,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",NA,7,7,"DEELTIJD","TAAL_EN_CULTUUR",NA,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",NA,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,"2012-09-01T00:00:00","2028-09-01T00:00:00","2020-04-06T00:00:00","2020-04-06T00:00:00",NA,"2028-09-01T00:00:00","2025-11-01T00:00:00",NA,NA,"2028-05-02T00:00:00","ART_5_16_LID_4",NA
9,20045,"Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV04","Protestantse Theologische Universiteit; Groningen","Groningen","GRONINGEN",60261,"2024-09-01T00:00:00","1001O6587",NA,"Theologie (Predikantschap)",NA,"OPLEIDING",180,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",NA,7,7,"VOLTIJD","TAAL_EN_CULTUUR",NA,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",NA,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,"2012-09-01T00:00:00","2028-09-01T00:00:00","2020-04-06T00:00:00","2020-04-06T00:00:00",NA,"2028-09-01T00:00:00","2025-11-01T00:00:00",NA,NA,"2028-05-02T00:00:00","ART_5_16_LID_4",NA
10,30041,"Stg. Kaht. Opleiding Leraren in het Basisonderwijs","00IC","Hogeschool KPZ","00IC00","Hogeschool KPZ; Zwolle","Zwolle","ZWOLLE",34808,NA,"1001O4361",NA,"Opleiding tot leraar Basisonderwijs","Education in Primary Schools (age 4 - 12)","OPLEIDING",240,"ECTS_PUNT","HBO-BA","BACHELOR","OF_EDUCATION",NA,6,6,"DEELTIJD","ONDERWIJS",NA,"LAAG","WETTELIJK","BEROEPSEISEN","ALGEMEEN",NA,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",48,"2002-09-01T00:00:00",NA,"2022-06-01T00:00:00","2022-06-01T00:00:00",NA,NA,"2028-05-01T00:00:00",NA,NA,NA,NA,NA
11,30041,"Stg. Kaht. Opleiding Leraren in het Basisonderwijs","00IC","Hogeschool KPZ","00IC00","Hogeschool KPZ; Zwolle","Zwolle","ZWOLLE",34808,NA,"1001O4361",NA,"Opleiding tot leraar Basisonderwijs","Education in Primary Schools (age 4 - 12)","OPLEIDING",240,"ECTS_PUNT","HBO-BA","BACHELOR","OF_EDUCATION",NA,6,6,"VOLTIJD","ONDERWIJS",NA,"LAAG","WETTELIJK","BEROEPSEISEN","ALGEMEEN",NA,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",48,"2002-09-01T00:00:00",NA,"2022-06-01T00:00:00","2022-06-01T00:00:00",NA,NA,"2028-05-01T00:00:00",NA,NA,NA,NA,NA
